Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74110HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,https://www.factory-direct-flooring.co.uk/static/version1779177995/frontend/Limely/fdf-hyva/en_GB/Magento_Catalog/images/product/placeholder/image.jpg,1,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,active
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/i/hinton_18mm_natural_matt_lacquer_solid_wood_flooring_5.jpg,2,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/i/hinton_18mm_natural_matt_lacquer_solid_wood_flooring_4.jpg,3,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74167nml-12.jpg,4,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74167nml-17.jpg,5,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_flat_uv_oil_4.jpg,6,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_flat_uv_oil_16.jpg,7,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/n/e/newminster_18mm_natural_oak_matt_lacquer_solid_wood_flooring_10.jpg,8,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/n/e/newminster_18mm_natural_oak_matt_lacquer_solid_wood_flooring_11.jpg,9,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/h/e/herringbone_smoked_b_o_uv_19.jpg,10,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,,,
