Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
herringbone-solid-wood-flooring-18mm-natural-brushed-oiled,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,"<h2>Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74110HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,Herringbone Solid Wood Flooring 18mm Natural Brushed Oiled,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
herringbone-solid-wood-flooring-18mm-natural-uv-oiled,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,"<h2>Herringbone Solid Wood Flooring 18mm Natural Uv Oiled</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74111HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,Herringbone Solid Wood Flooring 18mm Natural Uv Oiled,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
herringbone-solid-wood-flooring-18mm-golden-brushed-matt-lacquer,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,"<h2>Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74112HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,Herringbone Solid Wood Flooring 18mm Golden Brushed Matt Lacquer,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
herringbone-solid-wood-flooring-18mm-smoke-brushed-oiled,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,"<h2>Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74113HB,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,Herringbone Solid Wood Flooring 18mm Smoke Brushed Oiled,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
byland-18mm-x-120mm-solid-wood-flooring-natural-brushed-uv-oiled,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,"<h2>Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74115S,0,shopify,100,deny,manual,64.77,64.77,TRUE,TRUE,,,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,Byland 18mm x 120mm Solid Wood Flooring Natural Brushed Uv Oiled,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
hinton-18mm-x-120mm-solid-wood-flooring-natural-matt-lacquer,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,"<h2>Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74116S,0,shopify,100,deny,manual,64.77,64.77,TRUE,TRUE,,,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,Hinton 18mm x 120mm Solid Wood Flooring Natural Matt Lacquer,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
newminster-18mm-solid-wood-flooring-150mm-natural-oak-matt-lacquer,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,"<h2>Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74117S,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,Newminster 18mm Solid Wood Flooring 150mm Natural Oak Matt Lacquer,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
malton-18mm-x-120mm-double-smoked-brushed-matt-lacquer-solid-oak-flooring,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,"<h2>Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74118S,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,Malton 18mm x 120mm Double Smoked Brushed Matt Lacquer Solid Oak Flooring,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
watton-18mm-x-120mm-solid-oak-flooring-golden-handscraped-matt-lacquer,Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer,"<h2>Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74119S,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer,Watton 18mm x 120mm Solid Oak Flooring Golden Handscraped Matt Lacquer,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
cumaru-18mm-solid-wood-flooring-brushed-oiled-oak-150mm-wide,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,"<h2>Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide</h2><p>Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.</p>",Factory Direct Flooring,,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,74126S,0,shopify,100,deny,manual,68.15,68.15,TRUE,TRUE,,,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,Cumaru 18mm Solid Wood Flooring Brushed Oiled Oak 150mm Wide,"Premium solid wood flooring from Factory Direct Flooring. Real wood construction for a natural, timeless finish. Suitable for residential and commercial use. Can be sanded and refinished multiple times for a lasting floor.",active
