Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
laminate,Laminate Flooring,"<p>Our extensive range of laminate flooring brings the beauty of real wood to your home at a fraction of the price. From <a href=""https://www.factory-direct-flooring.co.uk/laminate/oak"" title=""Oak Laminate Flooring"">oak</a> and <a href=""https://www.factory-direct-flooring.co.uk/laminate/herringbone"" title=""Herringbone Laminate Flooring"">herringbone patterns</a> to sleek grey and modern finishes, we offer a variety of options that suit any décor. Designed for both style and durability, our floors are easy to clean and maintain, with thicknesses from 6mm to 14mm to suit every room. Produced by Factory Direct Flooring and leading industry brands, our laminate flooring is built to last. Use our filters to find the best prices and find the ideal laminate flooring for your home.</p>",Factory Direct Flooring,hg-4-1,Solid Wood Flooring,solid-wood-flooring,TRUE,Title,Default Title,,0,shopify,100,deny,manual,0.00,,TRUE,TRUE,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-iris-oak-8mm-laminate-3773-xl-s1_1.jpg,1,Laminate Flooring,Laminate Flooring,Discover our range of quality laminate flooring at prices 60% cheaper than the high street. Order your free laminate floor samples today.,active
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-iris-oak-8mm-laminate-3773-xl-swatch-2.jpg,2,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-classic-6mm-oak-light-grey-laminate-flooring-3904-xl-lifestyle-1_1.jpg,3,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-classic-6mm-oak-light-grey-laminate-flooring-3904-xl-lifestyle-2.jpg,4,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74151p_10.jpg,5,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74151p_17.jpg,6,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-7mm-dusky-grey-oak-laminate-3532-xl-lifestyle-1.jpg,7,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-7mm-dusky-grey-oak-laminate-3532-xl-lifestyle-2.jpg,8,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74155p_9.jpg,9,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74155p_5.jpg,10,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74149h_4.jpg,11,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/7/4/74149h_10.jpg,12,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-charcoal-8mm-laminate-6010-xl-lifestyle-1.jpg,13,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-herringbone-charcoal-8mm-laminate-6010-xl-lifestyle-2.jpg,14,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/1/2/12mm_arbor_oak_v-groove_3570_lifestyle_image_lifestyle_xl3a.jpg,15,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-plus-12mm-arbor-oak-ac5-click-laminate-flooring-3570-xl-swatch.jpg,16,Laminate Flooring,,,
laminate,,,,,,,,,,,,,,,,,,,,https://imagely.factory-direct-flooring.co.uk/media/catalog/product/cache/07f4e6a093cd3c305a832187014ed50b/p/r/prestige-classic-white-oak-6mm-laminate-flooring-3201-xl-lifestyle-1.jpg,17,Laminate Flooring,,,
